ktime
 8
time[S],elong_ref
  0      1.1
  3.5    1.1
  5.6    1.
  10     1.1
  46.    1.45
  58.    1.2
  68.    1.
  900e0  1.
!!!!!!!!!!!!!!!!!!!!
ktime
 8
time[S],elong_ref
  0      1.1
  3.5    1.1
  5.6    1.
  10     1.1
  46.    1.47
  58.    1.2
  68.    1.
  900e0  1.
!!!!!!!!!!!!!!!!!!!!
ktime
 8
time[S],elong_ref
  0      1.1
  3.5    1.1
  5.6    1.
  10     1.1
  45.    1.47
  57.    1.2
  67.    1.
  900e0  1.
!!!!!!!!!!!!!!!!!!!!
ktime
 8
time[S],elong_ref
  0      1.1
  3.5    1.1
  5.6    1.
  10     1.1
  45.    1.45
  57.    1.2
  67.    1.
  900e0  1.
!!!!!!!!!!!!!!!!!!!!
ktime
 8
time[S],elong_ref
  0      1.1
  3.5    1.1
  5.6    1.
  10     1.1
  45.    1.45
  61.    1.2
  79.    1.
  900e0  1.
!!!!!!!!!!!!!!!!!!!!
