Time[s]   Ip   I_CSU3   I_CSU2   I_CS1   I_CSL2   I_CSL3   I_PF1   I_PF2   I_PF3   I_PF4   I_PF5   I_PF6   
2.2  0.94  20.09855  19.7791  18.63701  20.04056  18.29208  5.708991  0.8000091  -0.07676413  0.2283678  -0.1666051  6.887274  
2.25  0.9666667  20.05391  19.715  18.576  19.95806  18.23694  5.652847  0.7992354  -0.08562443  0.2166102  -0.1655252  6.845781  
2.3  0.9933333  20.00953  19.64966  18.51319  19.87522  18.17957  5.595273  0.799008  -0.09451439  0.2048844  -0.1642904  6.80289  
2.35  1.02  19.96541  19.58312  18.44861  19.79204  18.12001  5.5363  0.7993149  -0.1034418  0.1931884  -0.1628933  6.758635  
2.4  1.046667  19.92156  19.51542  18.3823  19.70854  18.05829  5.475954  0.8001467  -0.1124131  0.18152  -0.1613289  6.713043  
2.45  1.073333  19.87798  19.44657  18.31427  19.62473  17.99442  5.41426  0.8014961  -0.121434  0.1698773  -0.1595936  6.666138  
2.5  1.1  19.83467  19.3766  18.24454  19.54061  17.92841  5.351241  0.8033571  -0.1305088  0.1582583  -0.1576852  6.61794  
2.55  1.125  19.7907  19.30574  18.17284  19.45707  17.86088  5.287514  0.8054796  -0.1394464  0.1467626  -0.1555743  6.569208  
2.6  1.15  19.74489  19.23427  18.09884  19.37512  17.79252  5.223822  0.8075538  -0.1480119  0.1355058  -0.1532445  6.52082  
2.65  1.175  19.69726  19.16221  18.02256  19.29471  17.72328  5.160159  0.8095785  -0.1562148  0.1244765  -0.150718  6.472714  
2.7  1.2  19.64782  19.08957  17.94406  19.21577  17.65312  5.096519  0.8115532  -0.1640606  0.1136676  -0.1480105  6.424848  
2.75  1.225  19.59659  19.01638  17.86338  19.13827  17.58204  5.032903  0.8134784  -0.1715519  0.1030752  -0.1451342  6.37719  
2.8  1.25  19.54357  18.94265  17.78058  19.06217  17.51002  4.969309  0.8153554  -0.1786891  0.09269788  -0.1420974  6.329718  
2.85  1.275  19.48878  18.86838  17.69569  18.98744  17.43706  4.905738  0.8171865  -0.1854711  0.08253569  -0.1389061  6.282417  
2.9  1.3  19.43224  18.79359  17.60876  18.91408  17.36316  4.842193  0.8189743  -0.1918961  0.07258983  -0.135564  6.235274  
2.95  1.325  19.37395  18.71828  17.51982  18.84206  17.28832  4.778673  0.8207214  -0.1979621  0.06286156  -0.1320737  6.188281  
3.0  1.35  19.31394  18.64248  17.4289  18.77136  17.21255  4.71518  0.8224302  -0.2036672  0.05335236  -0.1284366  6.141433  
3.05  1.375  19.25242  18.5675  17.3367  18.70337  17.13582  4.65187  0.8238719  -0.2089619  0.04413337  -0.1249096  6.094824  
3.1  1.4  19.18961  18.49495  17.24409  18.63976  17.05806  4.588933  0.8247768  -0.2137741  0.03530561  -0.1217965  6.048582  
3.15  1.425  19.12551  18.4248  17.15114  18.58048  16.97928  4.526367  0.8251729  -0.2180817  0.02689418  -0.1190716  6.002712  
3.2  1.45  19.06013  18.35698  17.05784  18.52545  16.89947  4.464169  0.8250789  -0.2218698  0.0189158  -0.1167159  5.957214  
3.25  1.475  18.99346  18.29144  16.96411  18.47462  16.81865  4.40233  0.8245024  -0.2251335  0.01137539  -0.1147198  5.912086  
3.3  1.5  18.92551  18.22811  16.86987  18.42791  16.73681  4.340842  0.8234444  -0.2278747  0.004269741  -0.1130806  5.867321  
3.35  1.525  18.85627  18.16694  16.77501  18.38526  16.65397  4.279691  0.821901  -0.2300994  -0.002409351  -0.1118007  5.822911  
