!!!!!!!!!!!!!!!
 0        2.829308e+00     3.649019e+00     6.746799e+00     3.551562e+00    -1.544662e+00    -8.446807e+00    -2.690418e+01    -1.634917e+01    -1.514935e+01    -1.008497e+01    -3.569795e+00
 200      1.883298e+00     3.460919e+00     5.936313e+00     3.021701e+00    -1.849044e+00    -8.447296e+00    -2.637230e+01     2.402823e+00     1.498023e+00    -7.623490e+00    -2.594687e+00
 400      1.603525e+00     3.130167e+00     5.069350e+00     2.808855e+00    -2.337887e+00    -8.447293e+00    -2.657364e+01     1.562396e-01    -8.610660e-03    -8.628329e+00    -2.866417e+00
 600      6.717341e-02     1.822424e-02     7.560958e-01     4.505504e-01    -2.045470e+00    -8.444865e+00    -2.684984e+01    -7.629207e+00    -8.310208e+00    -1.177017e+01    -3.339896e+00
 800      5.109307e-01    -2.335043e+00     1.164439e+00    -1.680860e+00    -1.862435e+00    -8.440062e+00    -2.714568e+01    -1.599121e+01    -1.854032e+01    -1.452952e+01    -4.028356e+00
 1000     1.934115e+00    -3.070327e+00     1.771026e+00    -2.756036e+00    -1.686026e+00    -8.434590e+00    -2.718350e+01    -1.578845e+01    -1.854032e+01    -1.452952e+01    -4.571180e+00
 1200     2.452516e+00     1.473188e+00     7.581227e+00    -3.194621e+00    -6.568305e-01    -3.429881e+00     1.980454e+00    -1.644985e+01    -1.854032e+01    -1.156347e+01    -1.464054e+00
 1400     2.262911e+00     4.467691e-01     1.245707e-01     1.296001e+00     1.470287e+00    -7.365584e-01    -1.788206e+01    -1.457246e+01    -1.722221e+01    -4.799317e+00     3.718051e-01
 1600    -2.729511e-02     7.355919e-01     3.457872e+00     1.803067e+00    -1.205180e-01     5.061339e+00    -2.050328e+00    -1.297589e+01    -1.596186e+01    -9.386667e+00     1.906491e+00
 1800     1.835342e-01    -1.199743e-01     4.748059e+00     1.944889e+00     1.893971e-01     7.250435e+00     2.653948e-01    -1.361824e+01    -1.446315e+01    -9.440201e+00     3.410019e+00
 2000     1.679214e+00     3.100099e-01     6.119637e+00     3.883070e-01     1.298149e+00     7.673462e+00    -1.335045e+01    -1.522772e+01    -1.583579e+01    -1.030605e+01     3.481355e+00
 2500     6.566975e-01    -1.247272e+00     1.752280e+00    -1.728047e+00    -8.935982e-01     1.642263e+00    -9.829375e+00    -1.548418e+01    -1.613400e+01    -1.071731e+01    -1.134091e+00
 3000    -6.253523e-01    -2.275451e+00    -1.483066e+00    -1.944829e+00    -1.555054e+00    -8.437681e-01    -8.461884e+00    -1.253934e+01    -1.487965e+01    -9.181055e+00    -1.902302e+00
 3500    -1.441133e+00    -2.013503e+00    -3.373852e+00    -3.036567e-01    -1.818434e+00    -3.070604e+00    -1.218497e+01    -9.250358e+00    -1.249098e+01    -9.657233e+00    -2.217996e+00
 9e3      0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
 900e3    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000
