ktime
 9
time[S],elong_ref
  0      1.1
  3.5    1.1
  5.6    1.
   18    1.
   25    0.85
   38    1.1
   55    0.9
   60    1
  900    1.
!!!!!!!!!!!!!!!!!!!!!!!!!!!!
ktime
 7
time[S],elong_ref
  0      1.1
  3.5    1.1
  5.6    1.
   25    0.85
   38    1.1
   50    1.
  900    1.
!!!!!!!!!!!!!!!!!!!!!!!!!!!!
ktime
 7
time[S],elong_ref
  0      1.1
  3.5    1.1
  5.6    1.
   25    0.85
   38    1.05
   50    1.
  900    1.
!!!!!!!!!!!!!!!!!!!!!!!!!!!!
ktime
 7
time[S],elong_ref
  0      1.1
  3.5    1.1
  5.6    1.
   20    1.
   40    1.1
   50    1.
  900    1.
!!!!!!!!!!!!!!!!!!!!!!!!!!!!
ktime
 7
time[S],elong_ref
  0      1.1
  3.5    1.1
  5.6    1.
   20    1.
   40    1.
   50    1.
  900    1.
