ktime
14
time[S],emoe[MW]emoq[MW]
  0.000000e+000    0.0000    0.0000
  1.600000e+000    0.0000    0.0000
  3.500000e+000    0.0000    0.0000
  4.610000e+000    0.0000    0.0000
  7.820000e+000    0.0000    0.0000
  1.138000e+001    0.0000    0.0000
  1.210000e+001    0.0000    0.0000
  1.401400e+001    0.0000    0.0000
  1.467400e+001    0.0000    0.0000
  5.031400e+001    0.0000    0.0000
  5.038000e+001   0.0000    0.0000
  5.999000e+002   0.0000    0.0000
  6.289000e+002   0.0000    0.0000
  6.289000e+003   0.0000    0.0000

!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
ktime
14
time[S],emoe[MW]emoq[MW]
  0.000000e+000    2.0000    0.0000
  1.600000e+000    2.0000    0.0000
  3.500000e+000    2.0000    0.0000
  4.610000e+000    2.0000    0.0000
  7.820000e+000    2.0000    0.0000
  1.138000e+001    2.0000    0.0000
  1.210000e+001    2.0000    0.0000
  1.401400e+001    2.0000    0.0000
  1.467400e+001    5.0000    0.0000
  5.031400e+001    20.0000    0.0000
  5.038000e+001   53.0000    0.0000
  5.999000e+002   53.0000    0.0000
  6.289000e+002   53.0000    0.0000
  6.289000e+003   53.0000    0.0000

!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
