75ktime
20
 time [S], rpp [cm]
0  7.032400e+002
1.6  5.93375e+002
2.5  5.93375e+002
4.61  5.93375e+002
7.82  6.602200e+002
11.38  6.360200e+002
15.24  6.264600e+002
19.52  6.193000e+002
24.17  6.124000e+002
29.37  6.094600e+002
35.25  6.094000e+002
42.12  6.093700e+002
49.26  6.090500e+002
56.21  6.087800e+002
63.22  6.083700e+002
72.55  6.079000e+002
100  6.069200e+002
130  6.169200e+002
530  6.169200e+002
1000  6.169200e+002



For 7.5 MA
7.82  6.622200e+002
11.38  6.600200e+002
15.24  6.584600e+002
19.52  6.533000e+002
24.17  6.424000e+002
29.37  6.324600e+002

