 n_t 
6
 PFres(i),i=1,15
  0.00000e+00  7.69755e-07  6.84226e-07  1.73337e-06  6.15804e-07  1.02634e-06  4.36879e-06  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  2.30279e-06  1.00000e+03  6.42411e-04  1.00000e+03  4.01657e-04
  3.50000e+00  7.69755e-07  6.84226e-07  1.73337e-06  6.15804e-07  1.02634e-06  4.36879e-06  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  2.30279e-06  1.00000e+03  6.42411e-04  1.00000e+03  4.01657e-04
  3.50200e+00  0.00000e+00  0.00000e+00  3.90986e-07  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  7.50000e-04  6.42411e-04  1.00000e+03  4.01657e-04
  1.00000e+01  0.00000e+00  0.00000e+00  3.90986e-07  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  7.50000e-04  6.42411e-04  1.00000e+03  4.01657e-04
  1.00020e+01  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  7.50000e-04  6.42411e-04  1.00000e+03  4.01657e-04
  1.00000e+06  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  7.50000e-04  6.42411e-04  1.00000e+03  4.01657e-04
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
 n_t 
8
 PFres(i),i=1,15
  0.00000e+00  7.69755e-07  6.84226e-07  1.73337e-06  6.15804e-07  1.02634e-06  4.36879e-06  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  2.30279e-06  1.00000e+03  6.42411e-04  1.00000e+03  4.01657e-04
  3.00000e+00  7.69755e-07  6.84226e-07  1.73337e-06  6.15804e-07  1.02634e-06  4.36879e-06  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  2.30279e-06  1.00000e+03  6.42411e-04  1.00000e+03  4.01657e-04
  3.00200e+00  0.00000e+00  0.00000e+00  3.90986e-07  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+03  6.42411e-04  1.00000e+03  4.01657e-04
  3.50000e+00  0.00000e+00  0.00000e+00  3.90986e-07  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  1.00000e+03  6.42411e-04  1.00000e+03  4.01657e-04
  3.50200e+00  0.00000e+00  0.00000e+00  3.90986e-07  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  7.50000e-04  6.42411e-04  1.00000e+03  4.01657e-04
  1.00000e+01  0.00000e+00  0.00000e+00  3.90986e-07  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  7.50000e-04  6.42411e-04  1.00000e+03  4.01657e-04
  1.00020e+01  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  7.50000e-04  6.42411e-04  1.00000e+03  4.01657e-04
  1.00000e+06  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  0.00000e+00  7.50000e-04  6.42411e-04  1.00000e+03  4.01657e-04
!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
