  !!!!!!!!!!!!
   2.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00
   4.000000e+00     3.790490e+00     2.543241e+00     3.907014e+00     3.507434e+00    -8.161121e-01    -7.373888e+00    -2.734375e+01    -1.034440e+01    -8.265443e+00    -6.715109e+00    -2.861170e+00
   1.676364e+02     3.790614e+00     1.996047e+00    -9.085170e-01     2.838038e+00    -7.196403e-01    -6.416434e+00    -2.734375e+01     7.773407e+00     7.903348e+00    -1.402663e+00    -1.824603e+00
   3.312727e+02     3.790614e+00     1.952915e+00    -4.704329e-01     2.409077e+00    -1.281215e+00    -6.589755e+00    -2.734375e+01     5.426669e+00     5.017179e+00    -3.970095e+00    -2.219386e+00
   4.949091e+02     3.061811e+00     9.073400e-01    -2.268626e+00     1.088610e+00    -1.636838e+00    -7.297827e+00    -2.734375e+01    -3.046091e+00    -9.018016e+00    -1.037557e+01    -3.358754e+00
   6.585455e+02     3.098721e+00    -4.600878e-01    -6.135289e+00     7.495594e-01    -1.522980e+00    -7.405784e+00    -2.734375e+01    -1.596550e+01    -1.854032e+01    -1.452952e+01    -4.571180e+00
   8.221818e+02     3.136725e+00    -1.418449e-01     3.259223e+00    -1.596961e+00    -2.642318e+00    -7.406717e+00    -2.734375e+01    -1.694459e+01    -1.854032e+01    -1.452952e+01    -4.571180e+00
   9.858182e+02     2.787490e+00    -3.789930e+00     5.068043e+00    -3.790614e+00    -3.790614e+00    -8.402481e+00    -2.734375e+01    -1.694459e+01    -1.854032e+01    -1.452952e+01    -4.571180e+00
   1.149455e+03     3.656943e+00    -1.784226e+00     6.307570e+00    -3.790614e+00    -2.439461e+00    -2.980002e+00    -2.734375e+01    -1.694459e+01    -1.854032e+01    -1.452952e+01    -4.571180e+00
   1.313091e+03     3.603685e+00     1.011360e+00     1.089468e+00     2.796953e+00     7.198756e-01     1.825997e+00     7.367759e+00    -1.381111e+01    -1.847728e+01    -8.817266e+00    -2.968502e-01
   1.476727e+03     1.918623e+00     9.017058e-01     4.406194e-01     3.028636e+00     1.014150e+00     2.685746e+00    -1.123515e+01    -1.268843e+01    -1.603569e+01    -6.193741e+00     1.066204e+00
   1.640364e+03     1.162521e-02     7.916873e-01     3.307432e+00     2.811097e+00    -1.501752e-02     5.578303e+00    -7.856516e+00    -1.311281e+01    -1.424623e+01    -8.290538e+00     2.323120e+00
   1.804000e+03     7.620924e-02    -9.815680e-03     4.284897e+00     2.040188e+00     1.185064e-01     7.076317e+00    -5.574622e+00    -1.528868e+01    -1.480298e+01    -8.534488e+00     3.562407e+00
   2.004000e+03     1.578621e+00     4.594329e-01     4.618445e+00    -8.142497e-02     1.256491e+00     7.805250e+00    -1.247648e+01    -1.601718e+01    -1.639378e+01    -9.964859e+00     3.553878e+00
   2.504000e+03     6.462912e-01    -1.072368e+00     1.662285e+00    -1.760081e+00    -9.224589e-01     1.565788e+00    -1.014416e+01    -1.561246e+01    -1.785774e+01    -1.068225e+01    -1.256051e+00
   3.004000e+03    -6.676448e-01    -2.295609e+00    -1.994417e+00    -1.839715e+00    -1.554680e+00    -1.117547e+00    -1.019231e+01    -1.301370e+01    -1.614212e+01    -9.118669e+00    -1.956026e+00
   3.504000e+03    -1.428053e+00    -1.924776e+00    -3.568058e+00    -3.184747e-01    -1.819581e+00    -3.027191e+00    -1.150321e+01    -9.136198e+00    -1.306476e+01    -9.692672e+00    -2.231654e+00
   7.500000e+03    -1.926100e+00    -3.441900e+00    -5.914600e+00    -2.816800e+00    -1.392500e+00     6.999100e-02    -2.590700e+00    -5.268400e+00    -8.565500e+00    -9.143300e+00     4.260000e+00
   2.000000e+04     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00
   9.000000e+08     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00     0.000000e+00
