  ktime nz   Be!!!
  9     4
  time [mS], gamma_z 
  -0.01e0   2.00e-2
  0.e-5     2.00e-2
  2000.e-0  2.00e-2
  4000.e-0  1.000e-1
  10000.e-0  1.000e-1
  20000.e0  1.000e-1
  50000.e0  1.00e-1
  80000.e0  1.00e-1
  80000.e3  1.00e-1

