     27    18
          .78700E+01  .16200E+02  .30700E+02  .54800E+02  .75000E+02
          .99000E+02  .12500E+03  .15100E+03  .23500E+03  .26200E+03
          .29000E+03  .33100E+03  .36100E+03  .39200E+03  .45700E+03
          .49000E+03  .12650E+04  .13580E+04  .14560E+04  .15820E+04
          .16890E+04  .17990E+04  .19500E+04  .20450E+04  .88280E+04
          .92780E+04  .00000E+00
         -.50000E+00 -.25000E+00  .00000E+00  .25000E+00  .50000E+00
          .75000E+00  .10000E+01  .12500E+01  .15000E+01  .17500E+01
          .20000E+01  .22500E+01  .25000E+01  .27500E+01  .30000E+01
          .35000E+01  .40000E+01  .50000E+01
         -.10344E+02 -.54800E+01 -.26770E+01 -.10350E+01 -.48000E-01
          .56300E+00  .95300E+00  .12070E+01  .13710E+01  .14690E+01
          .15180E+01  .15280E+01  .15090E+01  .14700E+01  .14170E+01
          .12810E+01  .11200E+01  .75700E+00
          .21375E+02  .15618E+02  .81587E+01  .50875E+01  .30391E+01
          .19319E+01  .12453E+01  .81494E+00  .51094E+00  .28530E+00
          .11184E+00 -.24682E-01 -.12112E+00 -.18685E+00 -.23547E+00
         -.30147E+00 -.34065E+00 -.37418E+00
         -.30000E+02 -.30000E+02 -.30000E+02 -.30000E+02 -.30000E+02
         -.30000E+02 -.30000E+02 -.30000E+02 -.30000E+02 -.30000E+02
         -.30000E+02 -.30000E+02 -.30000E+02 -.30000E+02 -.30000E+02
         -.30000E+02 -.30000E+02 -.30000E+02
          .00000E+00  .00000E+00  .00000E+00  .00000E+00  .00000E+00
          .00000E+00  .00000E+00  .00000E+00  .00000E+00  .00000E+00
          .00000E+00  .00000E+00  .00000E+00  .00000E+00  .00000E+00
          .00000E+00  .00000E+00  .00000E+00
         -.68001E+01 -.25091E+01 -.12612E+00  .11849E+01  .19039E+01
          .23009E+01  .25289E+01  .26639E+01  .27469E+01  .27979E+01
          .28219E+01  .28239E+01  .28059E+01  .27699E+01  .27199E+01
          .25909E+01  .24349E+01  .20779E+01
          .18941E+02  .13610E+02  .67060E+01  .38938E+01  .20788E+01
          .11830E+01  .68913E+00  .41646E+00  .26103E+00  .14740E+00
          .49353E-01 -.32816E-01 -.11009E+00 -.17482E+00 -.22262E+00
         -.28866E+00 -.33276E+00 -.36912E+00
         -.22452E+02 -.12572E+02 -.69320E+01 -.36770E+01 -.17730E+01
         -.63500E+00  .66000E-01  .50900E+00  .79400E+00  .97200E+00
          .10730E+01  .11200E+01  .11270E+01  .11070E+01  .10680E+01
          .95200E+00  .80400E+00  .45600E+00
          .43470E+02  .31621E+02  .16288E+02  .99670E+01  .57518E+01
          .35297E+01  .21972E+01  .14093E+01  .90152E+00  .54062E+00
          .28401E+00  .99325E-01 -.33314E-01 -.12207E+00 -.18640E+00
         -.26944E+00 -.31984E+00 -.36208E+00
         -.45060E+01 -.46880E+01 -.48820E+01 -.49460E+01 -.43210E+01
         -.38540E+01 -.37080E+01 -.37650E+01 -.39440E+01 -.41940E+01
         -.44860E+01 -.48020E+01 -.51310E+01 -.54680E+01 -.58100E+01
         -.65000E+01 -.71950E+01 -.85910E+01
         -.73257E+00 -.71887E+00 -.90397E+00  .12387E+01  .26810E+01
          .11411E+01  .11038E+00 -.51468E+00 -.88365E+00 -.10987E+01
         -.12256E+01 -.12951E+01 -.13342E+01 -.13600E+01 -.13737E+01
         -.13858E+01 -.13932E+01 -.13974E+01
         -.48821E+01 -.48041E+01 -.29781E+01 -.48912E+00  .90788E+00
          .16919E+01  .21419E+01  .24059E+01  .25679E+01  .26689E+01
          .27279E+01  .27529E+01  .27519E+01  .27279E+01  .26879E+01
          .25719E+01  .24249E+01  .20789E+01
         -.12981E+01  .35322E+01  .10017E+02  .81786E+01  .39004E+01
          .23919E+01  .13399E+01  .81633E+00  .50676E+00  .31264E+00
          .16268E+00  .44626E-01 -.53189E-01 -.13187E+00 -.18733E+00
         -.26828E+00 -.31753E+00 -.36023E+00
         -.35560E+02 -.23997E+02 -.13492E+02 -.75280E+01 -.41150E+01
         -.21370E+01 -.96800E+00 -.25800E+00  .18700E+00  .47000E+00
          .64700E+00  .74600E+00  .79200E+00  .79800E+00  .77900E+00
          .68800E+00  .55500E+00  .22400E+00
          .46250E+02  .46250E+02  .33559E+02  .17141E+02  .10403E+02
          .59407E+01  .35984E+01  .22137E+01  .14070E+01  .89451E+00
          .53500E+00  .27750E+00  .94997E-01 -.33490E-01 -.11704E+00
         -.23279E+00 -.29580E+00 -.34860E+00
         -.38500E+01 -.40080E+01 -.41780E+01 -.43610E+01 -.42940E+01
         -.34700E+01 -.29870E+01 -.28580E+01 -.29390E+01 -.31410E+01
         -.34100E+01 -.37180E+01 -.40490E+01 -.43920E+01 -.47420E+01
         -.54550E+01 -.61750E+01 -.76260E+01
         -.62507E+00 -.64586E+00 -.72748E+00 -.68020E+00  .20563E+01
          .31470E+01  .10397E+01  .38295E-01 -.61685E+00 -.96689E+00
         -.11676E+01 -.12868E+01 -.13533E+01 -.13879E+01 -.14111E+01
         -.14356E+01 -.14446E+01 -.14542E+01
         -.42161E+01 -.41261E+01 -.40461E+01 -.31601E+01 -.63712E+00
          .85788E+00  .16959E+01  .21569E+01  .24139E+01  .25629E+01
          .26529E+01  .27029E+01  .27199E+01  .27109E+01  .26819E+01
          .25819E+01  .24449E+01  .21099E+01
          .45817E+00  .16367E+00  .92717E+00  .77197E+01  .91022E+01
          .40875E+01  .25439E+01  .13248E+01  .77298E+00  .45532E+00
          .27375E+00  .12969E+00  .11482E-01 -.79620E-01 -.14900E+00
         -.24275E+00 -.30200E+00 -.35150E+00
         -.47457E+02 -.35857E+02 -.24257E+02 -.13719E+02 -.77420E+01
         -.43310E+01 -.23670E+01 -.12180E+01 -.52600E+00 -.94000E-01
          .17900E+00  .34300E+00  .43200E+00  .47000E+00  .47200E+00
          .40900E+00  .29200E+00 -.22000E-01
          .46400E+02  .46400E+02  .46400E+02  .33655E+02  .17158E+02
          .10369E+02  .58672E+01  .35184E+01  .21511E+01  .13652E+01
          .84804E+00  .48662E+00  .24150E+00  .71396E-01 -.47082E-01
         -.19030E+00 -.27171E+00 -.33515E+00
         -.34640E+01 -.36080E+01 -.37620E+01 -.39270E+01 -.41000E+01
         -.39170E+01 -.31490E+01 -.27380E+01 -.26510E+01 -.27590E+01
         -.29790E+01 -.32630E+01 -.35830E+01 -.39240E+01 -.42760E+01
         -.49990E+01 -.57310E+01 -.72050E+01
         -.56413E+00 -.59973E+00 -.61295E+00 -.77649E+00 -.33710E+00
          .22449E+01  .27695E+01  .82500E+00 -.93521E-01 -.70292E+00
         -.10308E+01 -.12218E+01 -.13299E+01 -.13904E+01 -.14243E+01
         -.14593E+01 -.14684E+01 -.14768E+01
         -.38251E+01 -.37241E+01 -.36311E+01 -.35401E+01 -.17701E+01
          .18888E+00  .12829E+01  .18899E+01  .22269E+01  .24209E+01
          .25379E+01  .26069E+01  .26389E+01  .26409E+01  .26209E+01
          .25329E+01  .24039E+01  .20769E+01
          .29085E+00  .63030E+00 -.48407E+00  .35140E+01  .87602E+01
          .61933E+01  .31026E+01  .18083E+01  .99218E+00  .59497E+00
          .35992E+00  .19733E+00  .62764E-01 -.40385E-01 -.11722E+00
         -.22389E+00 -.28922E+00 -.34589E+00
