  ktime t_bar 14
  4     0.003
  time [ms], anom_e
  0.        1.
  750.      1.
  950.      1.
  10000.    1.

  ktime t_bar  14_5
  38     0.003
  time [ms], anom_e
 0.00000e3 5.00000e-002
 7.50000e2 5.00000e-002
 7.60000e2 5.45425e-002
 7.70000e2 5.94976e-002
 7.80000e2 6.49029e-002
 7.90000e2 7.07993e-002
 8.00000e2 7.72314e-002
 8.10000e2 8.42478e-002
 8.20000e2 9.19016e-002
 8.30000e2 1.00251e-001
 8.40000e2 1.09359e-001
 8.50000e2 1.19294e-001
 8.60000e2 1.30131e-001
 8.70000e2 1.41954e-001
 8.80000e2 1.54850e-001
 8.90000e2 1.68918e-001
 9.00000e2 1.84264e-001
 9.10000e2 2.01005e-001
 9.20000e2 2.19266e-001
 9.30000e2 2.39186e-001
 9.40000e2 2.60916e-001
 9.50000e2 2.84620e-001
 9.60000e2 3.10477e-001
 9.70000e2 3.38684e-001
 9.80000e2 3.69453e-001
 9.90000e2 4.03017e-001
 1.00000e3 4.39631e-001
 1.01000e3 4.79571e-001
 1.02000e3 5.23140e-001
 1.03000e3 5.70667e-001
 1.04000e3 6.22512e-001
 1.05000e3 6.79066e-001
 1.06000e3 7.40759e-001
 1.07000e3 8.08056e-001
 1.08000e3 8.81468e-001
 1.09000e3 9.61548e-001
 1.10000e3 1.00000e+000
 2.50000e3 1.00000e+000

  ktime t_bar 14_4
  4     0.003
  time [ms], anom_e
  0.        0.02
  750.      0.02
  950.      1.
  10000.    1.

  ktime t_bar 14_3
  4     0.003
  time [ms], anom_e
  0.        0.1
  750.      0.1
  950.      1.
  10000.    1.

  ktime t_bar 14_2
  4     0.003
  time [ms], anom_e
  0.        0.05
  750.      0.05
  850.      1.
  10000.    1.

  ktime t_bar 14_1
  4     0.003
  time [ms], anom_e
  0.        0.05
  750.      0.05
  950.      1.
  10000.    1.


  ktime t_bar
  76     0.003
  time [S], anom_e
  -0.01e0   0.05
  7.5000E-01  5.0000E-02
  7.6250E-01  1.0756E-01
  7.7500E-01  1.6163E-01
  7.8750E-01  2.1242E-01
  8.0000E-01  2.6014E-01
  8.1250E-01  3.0496E-01
  8.2500E-01  3.4707E-01
  8.3750E-01  3.8663E-01
  8.5000E-01  4.2380E-01
  8.6250E-01  4.5871E-01
  8.7500E-01  4.9150E-01
  8.8750E-01  5.2231E-01
  9.0000E-01  5.5125E-01
  9.1250E-01  5.7844E-01
  9.2500E-01  6.0398E-01
  9.3750E-01  6.2797E-01
  9.5000E-01  6.5051E-01
  9.6250E-01  6.7169E-01
  9.7500E-01  6.9158E-01
  9.8750E-01  7.1027E-01
  1.0000E+00  7.2782E-01
  1.0125E+00  7.4431E-01
  1.0250E+00  7.5980E-01
  1.0375E+00  7.7436E-01
  1.0500E+00  7.8803E-01
  1.0625E+00  8.0087E-01
  1.0750E+00  8.1293E-01
  1.0875E+00  8.2427E-01
  1.1000E+00  8.3491E-01
  1.1125E+00  8.4492E-01
  1.1250E+00  8.5431E-01
  1.1375E+00  8.6314E-01
  1.1500E+00  8.7143E-01
  1.1625E+00  8.7922E-01
  1.1750E+00  8.8654E-01
  1.1875E+00  8.9341E-01
  1.2000E+00  8.9987E-01
  1.2125E+00  9.0594E-01
  1.2250E+00  9.1164E-01
  1.2375E+00  9.1699E-01
  1.2500E+00  9.2202E-01
  1.2625E+00  9.2674E-01
  1.2750E+00  9.3118E-01
  1.2875E+00  9.3535E-01
  1.3000E+00  9.3927E-01
  1.3125E+00  9.4295E-01
  1.3250E+00  9.4640E-01
  1.3375E+00  9.4965E-01
  1.3500E+00  9.5270E-01
  1.3625E+00  9.5557E-01
  1.3750E+00  9.5826E-01
  1.3875E+00  9.6079E-01
  1.4000E+00  9.6316E-01
  1.4125E+00  9.6540E-01
  1.4250E+00  9.6749E-01
  1.4375E+00  9.6946E-01
  1.4500E+00  9.7131E-01
  1.4625E+00  9.7305E-01
  1.4750E+00  9.7468E-01
  1.4875E+00  9.7622E-01
  1.5000E+00  9.7766E-01
  1.5125E+00  9.7901E-01
  1.5250E+00  9.8028E-01
  1.5375E+00  9.8148E-01
  1.5500E+00  9.8260E-01
  1.5625E+00  9.8365E-01
  1.5750E+00  9.8464E-01
  1.5875E+00  9.8558E-01
  1.6000E+00  9.8645E-01
  1.6125E+00  9.8727E-01
  1.6250E+00  9.8804E-01
  1.6375E+00  9.8877E-01
  1.6500E+00  9.8945E-01
  1.7500E+00  1.
  1000.		  1.


  ktime t_bar
  63     0.003
  time [S], anom_e
  -0.01e0   0.1
  7.5000E-01  1.0000E-01
  7.6250E-01  2.0575E-01
  7.7500E-01  2.9908E-01
  7.8750E-01  3.8144E-01
  8.0000E-01  4.5412E-01
  8.1250E-01  5.1826E-01
  8.2500E-01  5.7487E-01
  8.3750E-01  6.2482E-01
  8.5000E-01  6.6891E-01
  8.6250E-01  7.0781E-01
  8.7500E-01  7.4215E-01
  8.8750E-01  7.7244E-01
  9.0000E-01  7.9918E-01
  9.1250E-01  8.2278E-01
  9.2500E-01  8.4360E-01
  9.3750E-01  8.6198E-01
  9.5000E-01  8.7820E-01
  9.6250E-01  8.9251E-01
  9.7500E-01  9.0514E-01
