  5   3              
  3.00e-03  2.00e-02  2.00e-01  2.00e+00  2.00e+01  1.00e+02 
 1.965300e+03 4.572039e+03 4.159590e+03 1.871560e+03 4.173889e+02 3.699382e+01
 7.467599e+01 4.549038e+02 8.372937e+02 7.402515e+02 3.147607e+02 5.164578e+01
-2.120151e+01-3.668933e-01 7.295099e-01-1.944827e-01-1.263576e-01-1.491027e-01
-2.121979e+01-2.346986e-01 4.093794e-01 7.874548e-02-1.841379e-01 5.590744e-02
-2.476796e+01 9.408181e+00-9.657446e+00 4.999161e+00-1.237382e+00 1.160610e-01
 2.093736e+03 5.153766e+03 5.042105e+03 2.445345e+03 5.879207e+02 5.609128e+01
 7.286051e+00 4.506650e+01 1.595483e+02 2.112702e+02 1.186473e+02 2.400040e+01
 5.998782e+00 6.808206e-03-3.096242e-02-4.794194e-02 1.374732e-01 5.157571e-01
 5.988153e+00 7.335329e-02-1.754858e-01 2.034126e-01-1.145930e-01 2.517150e-02
-3.412166e+01 1.250454e+02-1.550822e+02 9.568297e+01-2.937297e+01 3.589667e+00
 1.569604e+04 3.872013e+04 3.793754e+04 1.842954e+04 4.438563e+03 4.241526e+02
-8.567197e+01-1.867449e+02 4.249500e+02 1.072139e+03 7.377224e+02 1.646775e+02
 3.598505e+01 7.432950e-02-2.552972e-01-4.325508e-01 8.446683e-01 4.719095e+00
 3.588152e+01 7.335339e-01-1.754860e+00 2.034127e+00-1.145931e+00 2.517152e-01
-2.047300e+02 7.502727e+02-9.304934e+02 5.740977e+02-1.762379e+02 2.153801e+01
c-6
