      4    18
         -.89462E+00 -.95361E+00 -.10149E+01 -.10706E+01 -.11226E+01
         -.12091E+01 -.12712E+01 -.13339E+01
         -.35161E+01 -.34051E+01 -.33001E+01 -.32011E+01 -.31091E+01
         -.30251E+01 -.29481E+01 -.28801E+01 -.28201E+01 -.27671E+01
         -.27201E+01 -.26731E+01 -.26201E+01 -.25571E+01 -.24801E+01
         -.22881E+01 -.20611E+01 -.15721E+01
          .44911E+00  .43378E+00  .40777E+00  .38316E+00  .35160E+00
          .32243E+00  .29068E+00  .25487E+00  .22586E+00  .19770E+00
          .18335E+00  .19689E+00  .22910E+00  .27870E+00  .33609E+00
          .42605E+00  .47371E+00  .49665E+00
